         558350302 function calls (558344634 primitive calls) in 475.387 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      263    0.009    0.000    1.101    0.004 <frozen importlib._bootstrap_external>:793(get_code)
      450    0.001    0.000    0.380    0.001 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      263    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      263    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
      263    0.142    0.001    1.009    0.004 <frozen importlib._bootstrap_external>:914(get_data)
      408    0.001    0.000    0.380    0.001 <frozen importlib._bootstrap_external>:93(_path_isfile)
      263    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
       42    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000  475.387  475.387 <string>:1(<module>)
        8    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 ElementPath.py:255(_SelectorContext)
        1    0.000    0.000    0.003    0.003 ElementPath.py:59(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:105(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1139(_ListDataStream)
        8    0.000    0.000    0.012    0.001 ElementTree.py:1187(parse)
       43    0.000    0.000    0.004    0.000 ElementTree.py:1201(iterparse)
 35169083   11.014    0.000  317.772    0.000 ElementTree.py:1219(iterator)
       43    0.000    0.000    0.000    0.000 ElementTree.py:1235(IterParseIterator)
        1    0.000    0.000    0.000    0.000 ElementTree.py:124(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1249(XMLPullParser)
       43    0.000    0.000    0.000    0.000 ElementTree.py:1251(__init__)
    43628    0.111    0.000  263.386    0.006 ElementTree.py:1263(feed)
       42    0.000    0.000    0.001    0.000 ElementTree.py:1273(_close_and_return_root)
 35212752   24.124    0.000   35.899    0.000 ElementTree.py:1287(read_events)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1361(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1437(XMLParser)
       51    0.001    0.000    0.002    0.000 ElementTree.py:1448(__init__)
       43    0.000    0.000    0.000    0.000 ElementTree.py:1494(_setevents)
 35169040   21.803    0.000   66.915    0.000 ElementTree.py:1512(handler)
106689554   27.478    0.000   27.478    0.000 ElementTree.py:1533(_fixname)
 35169600   68.268    0.000  115.815    0.000 ElementTree.py:1544(_start)
 35169600   25.547    0.000   40.773    0.000 ElementTree.py:1556(_end)
      100    0.000    0.000    0.000    0.000 ElementTree.py:1559(_default)
    43636    0.153    0.000  263.285    0.006 ElementTree.py:1627(feed)
       50    0.001    0.000    0.001    0.000 ElementTree.py:1634(close)
        1    0.000    0.000    0.008    0.008 ElementTree.py:34(<module>)
        1    0.000    0.000    0.003    0.003 ElementTree.py:36(_get_py3_cls)
        1    0.000    0.000    0.000    0.000 ElementTree.py:495(QName)
        1    0.000    0.000    0.000    0.000 ElementTree.py:543(ElementTree)
        8    0.000    0.000    0.000    0.000 ElementTree.py:554(__init__)
        8    0.000    0.000    0.012    0.001 ElementTree.py:574(parse)
        6    0.000    0.000    0.000    0.000 ElementTree.py:611(iter)
        6    0.000    0.000    0.000    0.000 ElementTree.py:624(getiterator)
        2    0.000    0.000    0.000    0.000 ElementTree.py:677(findall)
        1    0.000    0.000    0.000    0.000 ElementTree.py:68(DefusedXMLParser)
       51    0.000    0.000    0.002    0.000 ElementTree.py:69(__init__)
        1    0.000    0.000    0.003    0.003 ElementTree.py:7(<module>)
        1    0.000    0.000    0.001    0.001 SSL.py:1(<module>)
        1    0.000    0.000    0.000    0.000 SSL.py:119(_buffer)
        1    0.000    0.000    0.000    0.000 SSL.py:1561(Connection)
        1    0.000    0.000    0.000    0.000 SSL.py:244(Error)
        1    0.000    0.000    0.000    0.000 SSL.py:254(WantReadError)
        1    0.000    0.000    0.000    0.000 SSL.py:258(WantWriteError)
        1    0.000    0.000    0.000    0.000 SSL.py:262(WantX509LookupError)
        1    0.000    0.000    0.000    0.000 SSL.py:266(ZeroReturnError)
        1    0.000    0.000    0.000    0.000 SSL.py:270(SysCallError)
        1    0.000    0.000    0.000    0.000 SSL.py:274(_CallbackExceptionHelper)
        1    0.000    0.000    0.000    0.000 SSL.py:302(_VerifyHelper)
        1    0.000    0.000    0.000    0.000 SSL.py:341(_NpnAdvertiseHelper)
        1    0.000    0.000    0.000    0.000 SSL.py:382(_NpnSelectHelper)
        1    0.000    0.000    0.000    0.000 SSL.py:434(_ALPNSelectHelper)
        1    0.000    0.000    0.000    0.000 SSL.py:493(_OCSPServerCallbackHelper)
        1    0.000    0.000    0.000    0.000 SSL.py:560(_OCSPClientCallbackHelper)
        2    0.000    0.000    0.000    0.000 SSL.py:652(_make_requires)
        7    0.000    0.000    0.000    0.000 SSL.py:662(_requires_decorator)
        1    0.000    0.000    0.000    0.000 SSL.py:684(Session)
        1    0.000    0.000    0.000    0.000 SSL.py:695(Context)
        5    0.000    0.000    0.000    0.000 SSL.py:712(<genexpr>)
        1    0.000    0.000    0.000    0.000 __about__.py:5(<module>)
       15    0.000    0.000    3.395    0.226 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:101(LZ4FrameCompressor)
        1    0.000    0.000    0.000    0.000 __init__.py:1065(FileHandler)
        3    0.000    0.000    0.008    0.003 __init__.py:109(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:1134(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1140(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1158(PlaceHolder)
        4    0.000    0.000    0.000    0.000 __init__.py:1164(__init__)
        6    0.000    0.000    0.000    0.000 __init__.py:1170(append)
        1    0.000    0.000    0.000    0.000 __init__.py:12(AsymmetricSignatureContext)
